Field,Type,Frequency,Percent,Examples
blocks[].fields.cert_html_view_overrides,Object,2264,1.77,"{'default': {'platform_name': 'OpenCampus', 'logo_url': 'opencampus.utpl.edu.ec', 'company_verified_certificate_url': 'www.utpl.edu.ec', 'company_priv | {} | {'default': {'accomplishment_class_append': 'accomplishment-certificate', 'company_tos_url': 'http://www.YourOrganization.com/our-terms-service', 'com | {'default': {'platform_name': 'YourPlatformName', 'logo_url': 'www.YourOrganization.com', 'company_verified_certificate_url': 'http://www.YourOrganiza | {'default': {'accomplishment_class_append': 'accomplishment-certificate', 'company_tos_url': 'http://opencampus.utpl.edu.ec/tos', 'company_verified_ce"
blocks[].fields.cert_html_view_overrides.base,Object,222,0.17,"{'certificate_type': 'base', 'certificate_title': 'Certificado de Aprobación', 'document_body_class_append': 'is-base'} | {'certificate_type': 'base', 'certificate_title': 'Certificate of Achievement', 'document_body_class_append': 'is-base'}"
blocks[].fields.cert_html_view_overrides.base.certificate_title,String,222,0.17,Certificado de Aprobación | Certificate of Achievement
blocks[].fields.cert_html_view_overrides.base.certificate_type,String,222,0.17,base
blocks[].fields.cert_html_view_overrides.base.document_body_class_append,String,222,0.17,is-base
blocks[].fields.cert_html_view_overrides.default,Object,222,0.17,"{'platform_name': 'OpenCampus', 'logo_url': 'opencampus.utpl.edu.ec', 'company_verified_certificate_url': 'www.utpl.edu.ec', 'company_privacy_url': 'o | {'accomplishment_class_append': 'accomplishment-certificate', 'company_tos_url': 'http://opencampus.utpl.edu.ec/tos', 'company_verified_certificate_ur | {'platform_name': 'YourPlatformName', 'logo_url': 'www.YourOrganization.com', 'company_verified_certificate_url': 'http://www.YourOrganization.com/abo | {'accomplishment_class_append': 'accomplishment-certificate', 'company_tos_url': 'http://www.YourOrganization.com/our-terms-service', 'company_verifie"
blocks[].fields.cert_html_view_overrides.default.accomplishment_class_append,String,222,0.17,accomplishment-certificate
blocks[].fields.cert_html_view_overrides.default.company_about_url,String,222,0.17,opencampus.utpl.edu.ec | http://www.YourOrganization.com/about-us
blocks[].fields.cert_html_view_overrides.default.company_privacy_url,String,222,0.17,opencampus.utpl.edu.ec | http://www.YourOrganization.com/our-privacy-policy
blocks[].fields.cert_html_view_overrides.default.company_tos_url,String,222,0.17,http://opencampus.utpl.edu.ec/tos | http://www.YourOrganization.com/our-terms-service
